,equipmentId,dateTime,load
0,50250035,2023-05-01T00:00:00,4666.22
1,50250035,2023-05-01T00:15:00,5037.42
2,50250035,2023-05-01T00:30:00,5033.36
3,50250035,2023-05-01T00:45:00,5052.32
4,50250035,2023-05-01T01:00:00,5059.55
5,50250035,2023-05-01T01:15:00,5013.49
6,50250035,2023-05-01T01:30:00,4890.43
7,50250035,2023-05-01T01:45:00,4977.13
8,50250035,2023-05-01T02:00:00,4975.33
9,50250035,2023-05-01T02:15:00,4860.17
10,50250035,2023-05-01T02:30:00,4921.59
11,50250035,2023-05-01T02:45:00,4862.88
12,50250035,2023-05-01T03:00:00,4983.68
13,50250035,2023-05-01T03:15:00,4903.75
14,50250035,2023-05-01T03:30:00,4935.59
15,50250035,2023-05-01T03:45:00,5054.58
16,50250035,2023-05-01T04:00:00,5251.7
17,50250035,2023-05-01T04:15:00,4980.75
18,50250035,2023-05-01T04:30:00,4884.33
19,50250035,2023-05-01T04:45:00,4743.89
20,50250035,2023-05-01T05:00:00,4475.65
21,50250035,2023-05-01T05:15:00,4096.09
22,50250035,2023-05-01T05:30:00,4132.22
23,50250035,2023-05-01T05:45:00,3758.08
24,50250035,2023-05-01T06:00:00,3446.49
25,50250035,2023-05-01T06:15:00,3740.24
26,50250035,2023-05-01T06:30:00,4021.81
27,50250035,2023-05-01T06:45:00,3688.76
28,50250035,2023-05-01T07:00:00,3563.22
29,50250035,2023-05-01T07:15:00,4231.34
30,50250035,2023-05-01T07:30:00,4161.8
31,50250035,2023-05-01T07:45:00,3784.27
32,50250035,2023-05-01T08:00:00,3515.36
33,50250035,2023-05-01T08:15:00,3237.86
34,50250035,2023-05-01T08:30:00,2082.03
35,50250035,2023-05-01T08:45:00,1732.05
36,50250035,2023-05-01T09:00:00,1625.93
37,50250035,2023-05-01T09:15:00,534.68
38,50250035,2023-05-01T09:30:00,30.71
39,50250035,2023-05-01T09:45:00,704.47
40,50250035,2023-05-01T10:00:00,1612.61
41,50250035,2023-05-01T10:15:00,2928.97
42,50250035,2023-05-01T10:30:00,2387.75
43,50250035,2023-05-01T10:45:00,2377.82
44,50250035,2023-05-01T11:00:00,819.17
45,50250035,2023-05-01T11:15:00,-312.95
46,50250035,2023-05-01T11:30:00,-691.83
47,50250035,2023-05-01T11:45:00,-1264.43
48,50250035,2023-05-01T12:00:00,-1504.9
49,50250035,2023-05-01T12:15:00,-580.51
50,50250035,2023-05-01T12:30:00,-449.55
51,50250035,2023-05-01T12:45:00,200.28
52,50250035,2023-05-01T13:00:00,1386.14
53,50250035,2023-05-01T13:15:00,-1579.64
54,50250035,2023-05-01T13:30:00,22.8
55,50250035,2023-05-01T13:45:00,2695.96
56,50250035,2023-05-01T14:00:00,-392.88
57,50250035,2023-05-01T14:15:00,-1158.31
58,50250035,2023-05-01T14:30:00,313.63
59,50250035,2023-05-01T14:45:00,-998.68
60,50250035,2023-05-01T15:00:00,1825.98
61,50250035,2023-05-01T15:15:00,2084.96
62,50250035,2023-05-01T15:30:00,1663.63
63,50250035,2023-05-01T15:45:00,1249.98
64,50250035,2023-05-01T16:00:00,1498.58
65,50250035,2023-05-01T16:15:00,2445.1
66,50250035,2023-05-01T16:30:00,2341.69
67,50250035,2023-05-01T16:45:00,3767.79
68,50250035,2023-05-01T17:00:00,3312.14
69,50250035,2023-05-01T17:15:00,2695.05
70,50250035,2023-05-01T17:30:00,4434.56
71,50250035,2023-05-01T17:45:00,5288.05
72,50250035,2023-05-01T18:00:00,5636.67
73,50250035,2023-05-01T18:15:00,6127.54
74,50250035,2023-05-01T18:30:00,5779.82
75,50250035,2023-05-01T18:45:00,5878.04
76,50250035,2023-05-01T19:00:00,6517.71
77,50250035,2023-05-01T19:15:00,6652.06
78,50250035,2023-05-01T19:30:00,6279.05
79,50250035,2023-05-01T19:45:00,5987.78
80,50250035,2023-05-01T20:00:00,6578.45
81,50250035,2023-05-01T20:15:00,6265.95
82,50250035,2023-05-01T20:30:00,5955.72
83,50250035,2023-05-01T20:45:00,6740.57
84,50250035,2023-05-01T21:00:00,6693.6
85,50250035,2023-05-01T21:15:00,6546.84
86,50250035,2023-05-01T21:30:00,6899.75
87,50250035,2023-05-01T21:45:00,7095.06
88,50250035,2023-05-01T22:00:00,7089.87
89,50250035,2023-05-01T22:15:00,6475.04
90,50250035,2023-05-01T22:30:00,5741.21
91,50250035,2023-05-01T22:45:00,5920.94
92,50250035,2023-05-01T23:00:00,5209.7
93,50250035,2023-05-01T23:15:00,5536.42
94,50250035,2023-05-01T23:30:00,5177.64
95,50250035,2023-05-01T23:45:00,4997.0
96,50250035,2023-05-02T00:00:00,4777.53
97,50250035,2023-05-02T00:15:00,3971.46
98,50250035,2023-05-02T00:30:00,2917.46
99,50250035,2023-05-02T00:45:00,2678.8
100,50250035,2023-05-02T01:00:00,3240.34
101,50250035,2023-05-02T01:15:00,3902.82
102,50250035,2023-05-02T01:30:00,3768.92
103,50250035,2023-05-02T01:45:00,3887.46
104,50250035,2023-05-02T02:00:00,4145.09
105,50250035,2023-05-02T02:15:00,4077.13
106,50250035,2023-05-02T02:30:00,4398.65
107,50250035,2023-05-02T02:45:00,4546.77
