equipmentId,dateTime,load
24917,2023-05-01T00:00:00,9406.92
24917,2023-05-01T00:15:00,9873.02
24917,2023-05-01T00:30:00,9820.88
24917,2023-05-01T00:45:00,9742.12
24917,2023-05-01T01:00:00,9592.4
24917,2023-05-01T01:15:00,9572.24
24917,2023-05-01T01:30:00,9577.34
24917,2023-05-01T01:45:00,9553.42
24917,2023-05-01T02:00:00,10049.36
24917,2023-05-01T02:15:00,8873.36
24917,2023-05-01T02:30:00,8645.15
24917,2023-05-01T02:45:00,9918.72
24917,2023-05-01T03:00:00,10648.78
24917,2023-05-01T03:15:00,10608.46
24917,2023-05-01T03:30:00,10344.5
24917,2023-05-01T03:45:00,9182.21
24917,2023-05-01T04:00:00,7758.64
24917,2023-05-01T04:15:00,7566.99
24917,2023-05-01T04:30:00,8980.61
24917,2023-05-01T04:45:00,10222.46
24917,2023-05-01T05:00:00,11602.21
24917,2023-05-01T05:15:00,11619.15
24917,2023-05-01T05:30:00,11540.39
24917,2023-05-01T05:45:00,11661.08
24917,2023-05-01T06:00:00,11319.17
24917,2023-05-01T06:15:00,11447.12
24917,2023-05-01T06:30:00,10856.29
24917,2023-05-01T06:45:00,10001.24
24917,2023-05-01T07:00:00,10694.48
24917,2023-05-01T07:15:00,11542.0
24917,2023-05-01T07:30:00,10061.99
24917,2023-05-01T07:45:00,9049.96
24917,2023-05-01T08:00:00,9754.48
24917,2023-05-01T08:15:00,12882.24
24917,2023-05-01T08:30:00,11912.95
24917,2023-05-01T08:45:00,10608.19
24917,2023-05-01T09:00:00,9816.31
24917,2023-05-01T09:15:00,10839.09
24917,2023-05-01T09:30:00,13217.97
24917,2023-05-01T09:45:00,14500.15
24917,2023-05-01T10:00:00,14825.93
24917,2023-05-01T10:15:00,14735.08
24917,2023-05-01T10:30:00,13794.28
24917,2023-05-01T10:45:00,12629.3
24917,2023-05-01T11:00:00,10184.56
24917,2023-05-01T11:15:00,8408.33
24917,2023-05-01T11:30:00,8666.92
24917,2023-05-01T11:45:00,9945.6
24917,2023-05-01T12:00:00,9719.54
24917,2023-05-01T12:15:00,11884.72
24917,2023-05-01T12:30:00,12596.5
24917,2023-05-01T12:45:00,11027.79
24917,2023-05-01T13:00:00,9448.05
24917,2023-05-01T13:15:00,9708.79
24917,2023-05-01T13:30:00,8276.89
24917,2023-05-01T13:45:00,8798.9
24917,2023-05-01T14:00:00,8047.87
24917,2023-05-01T14:15:00,9751.8
24917,2023-05-01T14:30:00,10952.79
24917,2023-05-01T14:45:00,9765.24
24917,2023-05-01T15:00:00,9952.59
24917,2023-05-01T15:15:00,9484.34
24917,2023-05-01T15:30:00,10829.15
24917,2023-05-01T15:45:00,11413.25
24917,2023-05-01T16:00:00,12223.68
24917,2023-05-01T16:15:00,11465.66
24917,2023-05-01T16:30:00,11898.97
24917,2023-05-01T16:45:00,13927.6
24917,2023-05-01T17:00:00,14199.09
24917,2023-05-01T17:15:00,14244.52
24917,2023-05-01T17:30:00,13543.49
24917,2023-05-01T17:45:00,13677.62
24917,2023-05-01T18:00:00,13874.65
24917,2023-05-01T18:15:00,14398.0
24917,2023-05-01T18:30:00,14376.23
24917,2023-05-01T18:45:00,15279.13
24917,2023-05-01T19:00:00,15605.99
24917,2023-05-01T19:15:00,15522.66
24917,2023-05-01T19:30:00,14650.94
24917,2023-05-01T19:45:00,14091.3
24917,2023-05-01T20:00:00,13699.66
24917,2023-05-01T20:15:00,13670.09
24917,2023-05-01T20:30:00,14618.69
24917,2023-05-01T20:45:00,14738.84
24917,2023-05-01T21:00:00,14378.92
24917,2023-05-01T21:15:00,13735.41
24917,2023-05-01T21:30:00,12890.3
24917,2023-05-01T21:45:00,11388.25
24917,2023-05-01T22:00:00,11334.76
24917,2023-05-01T22:15:00,11962.14
24917,2023-05-01T22:30:00,11526.95
24917,2023-05-01T22:45:00,11117.84
24917,2023-05-01T23:00:00,10869.2
24917,2023-05-01T23:15:00,10505.24
24917,2023-05-01T23:30:00,10397.45
24917,2023-05-01T23:45:00,10193.43
24917,2023-05-02T00:00:00,10045.59
24917,2023-05-02T00:15:00,9924.9
24917,2023-05-02T00:30:00,9953.4
24917,2023-05-02T00:45:00,9751.53
24917,2023-05-02T01:00:00,9755.83
24917,2023-05-02T01:15:00,9774.64
24917,2023-05-02T01:30:00,9725.18
24917,2023-05-02T01:45:00,9420.9
24917,2023-05-02T02:00:00,8749.44
24917,2023-05-02T02:15:00,9180.33
24917,2023-05-02T02:30:00,10864.36
24917,2023-05-02T02:45:00,10919.73
