,dateTime,load,temperature,hotspotTemperature
0,2023-05-01T00:00:00,9160.97,11.73,38.61
1,2023-05-01T00:15:00,8920.67,11.73,38.25
2,2023-05-01T00:30:00,8740.84,11.73,38.25
3,2023-05-01T00:45:00,9782.71,11.73,38.25
4,2023-05-01T01:00:00,12049.23,11.35,38.77
5,2023-05-01T01:15:00,12028.26,11.35,40.25
6,2023-05-01T01:30:00,11620.49,11.35,39.87
7,2023-05-01T01:45:00,11161.38,11.35,39.04
8,2023-05-01T02:00:00,11077.78,10.8,38.67
9,2023-05-01T02:15:00,11093.38,10.8,37.91
10,2023-05-01T02:30:00,11139.07,10.8,38.72
11,2023-05-01T02:45:00,10925.91,10.8,38.43
12,2023-05-01T03:00:00,11093.11,10.62,37.92
13,2023-05-01T03:15:00,11201.43,10.62,38.19
14,2023-05-01T03:30:00,11440.4,10.62,38.75
15,2023-05-01T03:45:00,11449.53,10.62,39.16
16,2023-05-01T04:00:00,11636.35,10.38,39.04
17,2023-05-01T04:15:00,11057.09,10.38,39.2
18,2023-05-01T04:30:00,10005.81,10.38,38.6
19,2023-05-01T04:45:00,9957.16,10.38,38.38
20,2023-05-01T05:00:00,9881.63,9.96,38.83
21,2023-05-01T05:15:00,9704.75,9.96,38.38
22,2023-05-01T05:30:00,9111.24,9.96,38.38
23,2023-05-01T05:45:00,8680.36,9.96,37.6
24,2023-05-01T06:00:00,8414.51,10.36,37.37
25,2023-05-01T06:15:00,7855.68,10.36,38.46
26,2023-05-01T06:30:00,6001.23,10.36,38.27
27,2023-05-01T06:45:00,4674.7,10.36,36.49
28,2023-05-01T07:00:00,4716.36,11.53,35.87
29,2023-05-01T07:15:00,3442.25,11.53,35.87
30,2023-05-01T07:30:00,1963.85,11.53,35.06
31,2023-05-01T07:45:00,3063.51,11.53,34.35
32,2023-05-01T08:00:00,3767.23,13.2,34.88
33,2023-05-01T08:15:00,2165.45,13.2,35.33
34,2023-05-01T08:30:00,2657.63,13.2,34.29
35,2023-05-01T08:45:00,5840.49,13.2,34.57
36,2023-05-01T09:00:00,7476.13,14.88,36.02
