,dateTime,load,temperature,hotspotTemperature
0,2023-05-01T00:00:00,4422.22,12.02,27.53
1,2023-05-01T00:15:00,4365.35,12.02,26.86
2,2023-05-01T00:30:00,4258.35,12.02,26.86
3,2023-05-01T00:45:00,4268.08,12.02,26.86
4,2023-05-01T01:00:00,4246.8,11.75,26.86
5,2023-05-01T01:15:00,4217.13,11.75,26.86
6,2023-05-01T01:30:00,4280.73,11.75,26.86
7,2023-05-01T01:45:00,4418.19,11.75,26.86
8,2023-05-01T02:00:00,4578.84,11.51,26.86
9,2023-05-01T02:15:00,4677.99,11.51,26.86
10,2023-05-01T02:30:00,4980.43,11.51,26.86
11,2023-05-01T02:45:00,5211.71,11.51,26.86
12,2023-05-01T03:00:00,5479.31,11.21,26.86
13,2023-05-01T03:15:00,5550.8,11.21,26.86
14,2023-05-01T03:30:00,5542.06,11.21,26.86
15,2023-05-01T03:45:00,5501.17,11.21,26.86
16,2023-05-01T04:00:00,5276.65,10.53,26.86
17,2023-05-01T04:15:00,4847.16,10.53,26.86
18,2023-05-01T04:30:00,4930.72,10.53,26.86
19,2023-05-01T04:45:00,4807.34,10.53,26.86
20,2023-05-01T05:00:00,4769.6,9.51,25.55
21,2023-05-01T05:15:00,4823.26,9.51,24.96
22,2023-05-01T05:30:00,5044.34,9.51,24.96
23,2023-05-01T05:45:00,5206.86,9.51,25.33
24,2023-05-01T06:00:00,5361.12,9.92,25.51
25,2023-05-01T06:15:00,5437.1,9.92,25.98
26,2023-05-01T06:30:00,5673.39,9.92,25.98
27,2023-05-01T06:45:00,5696.54,9.92,25.98
28,2023-05-01T07:00:00,5886.39,11.11,25.98
29,2023-05-01T07:15:00,6015.56,11.11,25.98
30,2023-05-01T07:30:00,5975.35,11.11,25.98
31,2023-05-01T07:45:00,6091.21,11.11,25.98
32,2023-05-01T08:00:00,5972.09,11.73,25.98
33,2023-05-01T08:15:00,5571.18,11.73,25.98
34,2023-05-01T08:30:00,4648.86,11.73,25.98
35,2023-05-01T08:45:00,4110.57,11.73,25.98
36,2023-05-01T09:00:00,4111.67,13.12,25.98
37,2023-05-01T09:15:00,4651.18,13.12,25.98
38,2023-05-01T09:30:00,4521.71,13.12,25.98
39,2023-05-01T09:45:00,4168.84,13.12,25.98
40,2023-05-01T10:00:00,3918.23,14.61,25.98
41,2023-05-01T10:15:00,3779.11,14.61,25.98
42,2023-05-01T10:30:00,3311.68,14.61,25.98
43,2023-05-01T10:45:00,3003.58,14.61,25.98
44,2023-05-01T11:00:00,2893.9,15.3,25.98
45,2023-05-01T11:15:00,2728.88,15.3,25.98
46,2023-05-01T11:30:00,2415.99,15.3,25.98
47,2023-05-01T11:45:00,2341.56,15.3,25.98
48,2023-05-01T12:00:00,2093.89,16.32,25.9
49,2023-05-01T12:15:00,1923.86,16.32,25.98
50,2023-05-01T12:30:00,1818.68,16.32,25.86
51,2023-05-01T12:45:00,1771.34,16.32,25.43
52,2023-05-01T13:00:00,1783.38,16.21,25.88
53,2023-05-01T13:15:00,1777.49,16.21,25.98
54,2023-05-01T13:30:00,1897.9,16.21,25.98
55,2023-05-01T13:45:00,2064.7,16.21,25.98
56,2023-05-01T14:00:00,1937.61,15.79,25.98
57,2023-05-01T14:15:00,2127.53,15.79,25.98
58,2023-05-01T14:30:00,2253.07,15.79,25.98
59,2023-05-01T14:45:00,2419.56,15.79,25.98
60,2023-05-01T15:00:00,2593.59,15.26,25.98
61,2023-05-01T15:15:00,2903.72,15.26,25.98
62,2023-05-01T15:30:00,3231.5,15.26,25.51
63,2023-05-01T15:45:00,3560.6,15.26,25.98
64,2023-05-01T16:00:00,4002.03,15.1,25.98
65,2023-05-01T16:15:00,4226.7,15.1,25.98
66,2023-05-01T16:30:00,4508.46,15.1,25.98
67,2023-05-01T16:45:00,4710.66,15.1,25.98
68,2023-05-01T17:00:00,4927.9,14.92,25.98
69,2023-05-01T17:15:00,5036.68,14.92,25.98
70,2023-05-01T17:30:00,5181.97,14.92,25.98
71,2023-05-01T17:45:00,5325.31,14.92,25.98
72,2023-05-01T18:00:00,5474.26,14.35,25.98
73,2023-05-01T18:15:00,5547.19,14.35,25.98
74,2023-05-01T18:30:00,5431.94,14.35,25.98
75,2023-05-01T18:45:00,5425.22,14.35,25.98
76,2023-05-01T19:00:00,5648.23,13.01,25.98
77,2023-05-01T19:15:00,5703.09,13.01,25.98
78,2023-05-01T19:30:00,5813.9,13.01,25.98
79,2023-05-01T19:45:00,6223.06,13.01,25.98
80,2023-05-01T20:00:00,6547.63,11.17,25.98
81,2023-05-01T20:15:00,6527.36,11.17,25.98
82,2023-05-01T20:30:00,6429.83,11.17,25.98
83,2023-05-01T20:45:00,6267.77,11.17,25.98
84,2023-05-01T21:00:00,5944.62,9.74,25.98
85,2023-05-01T21:15:00,5691.38,9.74,25.98
86,2023-05-01T21:30:00,5322.17,9.74,25.98
87,2023-05-01T21:45:00,5080.01,9.74,25.98
88,2023-05-01T22:00:00,4852.47,9.79,25.98
89,2023-05-01T22:15:00,4534.12,9.79,25.98
90,2023-05-01T22:30:00,4319.62,9.79,25.98
91,2023-05-01T22:45:00,4203.84,9.79,25.98
92,2023-05-01T23:00:00,4215.08,9.22,25.98
93,2023-05-01T23:15:00,4084.43,9.22,25.98
94,2023-05-01T23:30:00,4034.76,9.22,25.98
95,2023-05-01T23:45:00,3924.61,9.22,25.98
96,2023-05-02T00:00:00,3853.44,9.95,25.98
97,2023-05-02T00:15:00,3804.65,9.95,25.98
98,2023-05-02T00:30:00,3729.75,9.95,25.98
99,2023-05-02T00:45:00,3723.71,9.95,25.98
100,2023-05-02T01:00:00,3735.78,10.23,25.98
