,locationId,dateTime,temperature
0,26,2023-05-01T00:00:00,11.73
1,26,2023-05-01T01:00:00,11.35
2,26,2023-05-01T02:00:00,10.8
3,26,2023-05-01T03:00:00,10.62
4,26,2023-05-01T04:00:00,10.38
5,26,2023-05-01T05:00:00,9.96
6,26,2023-05-01T06:00:00,10.36
7,26,2023-05-01T07:00:00,11.53
8,26,2023-05-01T08:00:00,13.2
9,26,2023-05-01T09:00:00,14.88
10,26,2023-05-01T10:00:00,15.61
11,26,2023-05-01T11:00:00,15.17
12,26,2023-05-01T12:00:00,14.94
13,26,2023-05-01T13:00:00,15.41
14,26,2023-05-01T14:00:00,16.1
15,26,2023-05-01T15:00:00,15.96
16,26,2023-05-01T16:00:00,16.55
17,26,2023-05-01T17:00:00,16.03
18,26,2023-05-01T18:00:00,15.35
19,26,2023-05-01T19:00:00,13.88
20,26,2023-05-01T20:00:00,12.1
21,26,2023-05-01T21:00:00,10.87
22,26,2023-05-01T22:00:00,10.06
23,26,2023-05-01T23:00:00,9.65
24,26,2023-05-02T00:00:00,9.3
25,26,2023-05-02T01:00:00,9.56
26,26,2023-05-02T02:00:00,9.75
27,26,2023-05-02T03:00:00,9.24
28,26,2023-05-02T04:00:00,9.3
29,26,2023-05-02T05:00:00,9.42
30,26,2023-05-02T06:00:00,9.83
31,26,2023-05-02T07:00:00,10.02
32,26,2023-05-02T08:00:00,10.71
33,26,2023-05-02T09:00:00,11.69
34,26,2023-05-02T10:00:00,12.3
35,26,2023-05-02T11:00:00,13.11
36,26,2023-05-02T12:00:00,13.75
37,26,2023-05-02T13:00:00,14.3
38,26,2023-05-02T14:00:00,14.41
39,26,2023-05-02T15:00:00,14.68
40,26,2023-05-02T16:00:00,14.74
41,26,2023-05-02T17:00:00,14.43
42,26,2023-05-02T18:00:00,13.61
43,26,2023-05-02T19:00:00,12.07
44,26,2023-05-02T20:00:00,10.04
45,26,2023-05-02T21:00:00,8.67
46,26,2023-05-02T22:00:00,7.97
47,26,2023-05-02T23:00:00,7.17
48,26,2023-05-03T00:00:00,6.17
49,26,2023-05-03T01:00:00,5.35
50,26,2023-05-03T02:00:00,4.51
51,26,2023-05-03T03:00:00,4.29
52,26,2023-05-03T04:00:00,3.72
53,26,2023-05-03T05:00:00,3.44
54,26,2023-05-03T06:00:00,4.95
55,26,2023-05-03T07:00:00,6.99
56,26,2023-05-03T08:00:00,9.09
